Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cdvn,reaction time,stimulus,button pressed
2,1599015477488,02/09/2020 02:57:57,1599015477483,-7,01/09/2020 19:57:57,24005,8,task-qgn4,,6676609,BLIND,1912551,,complete,,5f4f0952ab673d15ddd6af16,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1440x960,1440x827,,HeadphonesCheck,1,Good Mood,4983.899999875575,/task/40825/1/asset/Dog.mp3,3
3,1599015480707,02/09/2020 02:58:00,1599015480373,-7,01/09/2020 19:58:00,24005,8,task-qgn4,,6676609,BLIND,1912551,,complete,,5f4f0952ab673d15ddd6af16,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1440x960,1440x827,,HeadphonesCheck,1,Good Mood,2884.2499998863786,/task/40825/1/asset/Owl.mp3,3
4,1599015481160,02/09/2020 02:58:01,1599015481108,-7,01/09/2020 19:58:01,24005,8,task-qgn4,,6676609,BLIND,1912551,,complete,,5f4f0952ab673d15ddd6af16,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1440x960,1440x827,,HeadphonesCheck,1,Good Mood,731.9200001657009,/task/40825/1/asset/Goat.mp3,3
1,1599015543231,02/09/2020 02:59:03,1599015543071,-5,01/09/2020 21:59:03,24005,8,task-qgn4,,6676625,BLIND,1912547,,complete,,5f4f09450acd6c15bc747d8b,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 84.0.4147.135,1280x800,1280x632,,HeadphonesCheck,1,Good Mood,7307.065000000875,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015547387,02/09/2020 02:59:07,1599015547281,-5,01/09/2020 21:59:07,24005,8,task-qgn4,,6676625,BLIND,1912547,,complete,,5f4f09450acd6c15bc747d8b,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 84.0.4147.135,1280x800,1280x632,,HeadphonesCheck,1,Good Mood,4204.390000000785,/task/40825/1/asset/Dog.mp3,1
3,1599015552346,02/09/2020 02:59:12,1599015552212,-5,01/09/2020 21:59:12,24005,8,task-qgn4,,6676625,BLIND,1912547,,complete,,5f4f09450acd6c15bc747d8b,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 84.0.4147.135,1280x800,1280x632,,HeadphonesCheck,1,Good Mood,4927.120000000286,/task/40825/1/asset/Owl.mp3,0
4,1599015554689,02/09/2020 02:59:14,1599015554586,-5,01/09/2020 21:59:14,24005,8,task-qgn4,,6676625,BLIND,1912547,,complete,,5f4f09450acd6c15bc747d8b,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 84.0.4147.135,1280x800,1280x632,,HeadphonesCheck,1,Good Mood,2370.0899999985268,/task/40825/1/asset/Goat.mp3,0
1,1599015563919,02/09/2020 02:59:23,1599015562442,2,02/09/2020 04:59:22,24005,8,task-qgn4,,6676627,BLIND,1912556,,complete,,5f4f09eaed9cd01556a0c067,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.129,1536x864,1536x754,,HeadphonesCheck,1,Good Mood,21908.229999997275,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015568203,02/09/2020 02:59:28,1599015566764,2,02/09/2020 04:59:26,24005,8,task-qgn4,,6676627,BLIND,1912556,,complete,,5f4f09eaed9cd01556a0c067,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.129,1536x864,1536x754,,HeadphonesCheck,1,Good Mood,4317.545000001701,/task/40825/1/asset/Dog.mp3,1
3,1599015569891,02/09/2020 02:59:29,1599015568474,2,02/09/2020 04:59:28,24005,8,task-qgn4,,6676627,BLIND,1912556,,complete,,5f4f09eaed9cd01556a0c067,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.129,1536x864,1536x754,,HeadphonesCheck,1,Good Mood,1707.1749999995518,/task/40825/1/asset/Owl.mp3,0
4,1599015571235,02/09/2020 02:59:31,1599015569809,2,02/09/2020 04:59:29,24005,8,task-qgn4,,6676627,BLIND,1912556,,complete,,5f4f09eaed9cd01556a0c067,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.129,1536x864,1536x754,,HeadphonesCheck,1,Good Mood,1331.4400000017486,/task/40825/1/asset/Goat.mp3,0
1,1599015603412,02/09/2020 03:00:03,1599015602238,-5,01/09/2020 22:00:02,24005,8,task-qgn4,,6676637,BLIND,1912553,,complete,,5f4f09e41781fd15f2fc8057,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x927,,HeadphonesCheck,1,Bad Mood,7588.790000001609,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015605869,02/09/2020 03:00:05,1599015604644,-5,01/09/2020 22:00:04,24005,8,task-qgn4,,6676637,BLIND,1912553,,complete,,5f4f09e41781fd15f2fc8057,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x927,,HeadphonesCheck,1,Bad Mood,2395.1450000022305,/task/40825/1/asset/Dog.mp3,1
3,1599015607400,02/09/2020 03:00:07,1599015606222,-5,01/09/2020 22:00:06,24005,8,task-qgn4,,6676637,BLIND,1912553,,complete,,5f4f09e41781fd15f2fc8057,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x927,,HeadphonesCheck,1,Bad Mood,1575.604999998177,/task/40825/1/asset/Owl.mp3,0
4,1599015608901,02/09/2020 03:00:08,1599015607777,-5,01/09/2020 22:00:07,24005,8,task-qgn4,,6676637,BLIND,1912553,,complete,,5f4f09e41781fd15f2fc8057,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1920x1080,1920x927,,HeadphonesCheck,1,Bad Mood,1553.2549999988987,/task/40825/1/asset/Goat.mp3,0
1,1599015607979,02/09/2020 03:00:07,1599015602777,-4,01/09/2020 23:00:02,24005,8,task-qgn4,,6676639,BLIND,1912552,,complete,,5f4f09d776a240162727a432,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,3440x1440,3438x1337,,HeadphonesCheck,1,Good Mood,8333.624999970198,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015612042,02/09/2020 03:00:12,1599015606869,-4,01/09/2020 23:00:06,24005,8,task-qgn4,,6676639,BLIND,1912552,,complete,,5f4f09d776a240162727a432,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,3440x1440,3438x1337,,HeadphonesCheck,1,Good Mood,4089.670000015758,/task/40825/1/asset/Dog.mp3,1
