Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
4,1600099470683,14/09/2020 16:04:30,1600099471328,1,14/09/2020 17:04:31,25911,5,task-qgn4,,6796953,BLIND,1957438,,complete,,5f5f93d1286ecf000a36952e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,1536.3350000006903,/task/40825/1/asset/Goat.mp3,0
1,1600099460529,14/09/2020 16:04:20,1600099459185,2,14/09/2020 18:04:19,25911,5,task-qgn4,,6796955,BLIND,1957442,,complete,,5f5f93d584bb5800095610fb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x975,,HeadphonesCheck,1,17703.970000000027,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099468375,14/09/2020 16:04:28,1600099467067,2,14/09/2020 18:04:27,25911,5,task-qgn4,,6796955,BLIND,1957442,,complete,,5f5f93d584bb5800095610fb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x975,,HeadphonesCheck,1,7872.2099999999955,/task/40825/1/asset/Dog.mp3,1
3,1600099471058,14/09/2020 16:04:31,1600099469754,2,14/09/2020 18:04:29,25911,5,task-qgn4,,6796955,BLIND,1957442,,complete,,5f5f93d584bb5800095610fb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x975,,HeadphonesCheck,1,2685.2399999997942,/task/40825/1/asset/Owl.mp3,0
4,1600099472885,14/09/2020 16:04:32,1600099471583,2,14/09/2020 18:04:31,25911,5,task-qgn4,,6796955,BLIND,1957442,,complete,,5f5f93d584bb5800095610fb,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x975,,HeadphonesCheck,1,1826.8600000001243,/task/40825/1/asset/Goat.mp3,0
1,1600099465171,14/09/2020 16:04:25,1600099470987,1,14/09/2020 17:04:30,25911,5,task-qgn4,,6796958,BLIND,1957460,,complete,,5f5f93f099c211000b62172a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x576,,HeadphonesCheck,1,9196.504999999888,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099468424,14/09/2020 16:04:28,1600099475491,1,14/09/2020 17:04:35,25911,5,task-qgn4,,6796958,BLIND,1957460,,complete,,5f5f93f099c211000b62172a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x576,,HeadphonesCheck,1,4484.54999999376,/task/40825/1/asset/Dog.mp3,1
3,1600099471370,14/09/2020 16:04:31,1600099478382,1,14/09/2020 17:04:38,25911,5,task-qgn4,,6796958,BLIND,1957460,,complete,,5f5f93f099c211000b62172a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x576,,HeadphonesCheck,1,2887.670000025537,/task/40825/1/asset/Owl.mp3,0
4,1600099474229,14/09/2020 16:04:34,1600099480601,1,14/09/2020 17:04:40,25911,5,task-qgn4,,6796958,BLIND,1957460,,complete,,5f5f93f099c211000b62172a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x576,,HeadphonesCheck,1,2213.744999957271,/task/40825/1/asset/Goat.mp3,0
1,1600099471417,14/09/2020 16:04:31,1600099472431,2,14/09/2020 18:04:32,25911,5,task-qgn4,,6796968,BLIND,1957431,,complete,,5f5f937d6601f6000a8ba1e5,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1366x768,1366x642,,HeadphonesCheck,1,10792.859999999564,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099475619,14/09/2020 16:04:35,1600099476787,2,14/09/2020 18:04:36,25911,5,task-qgn4,,6796968,BLIND,1957431,,complete,,5f5f937d6601f6000a8ba1e5,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1366x768,1366x642,,HeadphonesCheck,1,4344.5849999998245,/task/40825/1/asset/Dog.mp3,1
3,1600099478371,14/09/2020 16:04:38,1600099479552,2,14/09/2020 18:04:39,25911,5,task-qgn4,,6796968,BLIND,1957431,,complete,,5f5f937d6601f6000a8ba1e5,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1366x768,1366x642,,HeadphonesCheck,1,2747.425000000021,/task/40825/1/asset/Owl.mp3,0
4,1600099480561,14/09/2020 16:04:40,1600099481683,2,14/09/2020 18:04:41,25911,5,task-qgn4,,6796968,BLIND,1957431,,complete,,5f5f937d6601f6000a8ba1e5,computer,Desktop or Laptop,Linux x86_64,Chrome 85.0.4183.102,1366x768,1366x642,,HeadphonesCheck,1,2102.3150000000896,/task/40825/1/asset/Goat.mp3,0
1,1600099468267,14/09/2020 16:04:28,1600099468031,3,14/09/2020 19:04:28,25911,5,task-qgn4,,6796969,BLIND,1957451,,complete,,5f5f93deb913f3000885716f,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 84.0.4147.135,1440x900,1440x699,,HeadphonesCheck,1,7879.895000020042,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099472058,14/09/2020 16:04:32,1600099471953,3,14/09/2020 19:04:31,25911,5,task-qgn4,,6796969,BLIND,1957451,,complete,,5f5f93deb913f3000885716f,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 84.0.4147.135,1440x900,1440x699,,HeadphonesCheck,1,3914.474999997765,/task/40825/1/asset/Dog.mp3,1
3,1600099473808,14/09/2020 16:04:33,1600099473745,3,14/09/2020 19:04:33,25911,5,task-qgn4,,6796969,BLIND,1957451,,complete,,5f5f93deb913f3000885716f,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 84.0.4147.135,1440x900,1440x699,,HeadphonesCheck,1,1787.4549999833107,/task/40825/1/asset/Owl.mp3,0
4,1600099476260,14/09/2020 16:04:36,1600099476192,3,14/09/2020 19:04:36,25911,5,task-qgn4,,6796969,BLIND,1957451,,complete,,5f5f93deb913f3000885716f,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 84.0.4147.135,1440x900,1440x699,,HeadphonesCheck,1,2441.925000050105,/task/40825/1/asset/Goat.mp3,0
