Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,key pressed,builtin rt,end_time,start_time,response,
23,1601310134327,28/09/2020 16:22:14,1601310131537,2,28/09/2020 18:22:11,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,67,40,66.53999997070059,1601310131435,1601310131368,,
24,1601310134467,28/09/2020 16:22:14,1601310131703,2,28/09/2020 18:22:11,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,65,40,64.34500002069399,1601310131602,1601310131537,,
25,1601310134608,28/09/2020 16:22:14,1601310131852,2,28/09/2020 18:22:11,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,43,40,42.1100000385195,1601310131749,1601310131706,,
26,1601310134749,28/09/2020 16:22:14,1601310131995,2,28/09/2020 18:22:11,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,39,40,38.20000000996515,1601310131894,1601310131855,,
27,1601310134937,28/09/2020 16:22:14,1601310132136,2,28/09/2020 18:22:12,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,39,40,38.79000002052635,1601310132035,1601310131996,,
28,1601310135421,28/09/2020 16:22:15,1601310132655,2,28/09/2020 18:22:12,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,416,40,415.25499999988824,1601310132553,1601310132137,,
29,1601310135546,28/09/2020 16:22:15,1601310132791,2,28/09/2020 18:22:12,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,32,40,30.910000030416995,1601310132690,1601310132658,,
30,1601310135671,28/09/2020 16:22:15,1601310132922,2,28/09/2020 18:22:12,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,27,40,25.815000000875443,1601310132820,1601310132793,,
31,1601310135812,28/09/2020 16:22:15,1601310133052,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,25,40,24.70999996876344,1601310132950,1601310132925,,
32,1601310135967,28/09/2020 16:22:15,1601310133202,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,46,40,45.464999973773956,1601310133100,1601310133054,,
33,1601310136094,28/09/2020 16:22:16,1601310133336,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,29,40,27.98000001348555,1601310133234,1601310133205,,
34,1601310136219,28/09/2020 16:22:16,1601310133457,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,16,40,14.900000009220093,1601310133355,1601310133339,,
35,1601310136344,28/09/2020 16:22:16,1601310133583,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,24,40,23.16500002052635,1601310133482,1601310133458,,
36,1601310136469,28/09/2020 16:22:16,1601310133713,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,27,40,26.96500002639368,1601310133611,1601310133584,,
37,1601310136609,28/09/2020 16:22:16,1601310133855,2,28/09/2020 18:22:13,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,38,40,37.56000002613291,1601310133754,1601310133716,,
38,1601310136766,28/09/2020 16:22:16,1601310134010,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,50,40,49.29999995511025,1601310133909,1601310133859,,
39,1601310136891,28/09/2020 16:22:16,1601310134142,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,29,40,28.53000001050532,1601310134040,1601310134011,,
40,1601310137063,28/09/2020 16:22:17,1601310134309,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,64,40,64.50500001665205,1601310134207,1601310134143,,
41,1601310137193,28/09/2020 16:22:17,1601310134437,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,24,40,22.79000001726672,1601310134336,1601310134312,,
42,1601310137341,28/09/2020 16:22:17,1601310134577,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,39,40,38.86999998940155,1601310134477,1601310134438,,
43,1601310137513,28/09/2020 16:22:17,1601310134756,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,76,40,74.48000001022592,1601310134656,1601310134580,,
44,1601310137654,28/09/2020 16:22:17,1601310134894,2,28/09/2020 18:22:14,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,34,40,33.86500000488013,1601310134792,1601310134758,,
